symbol,eligible,confidence,failed_layer,order_pct_adv,exit_days
RELIANCE,True,0.85,,0.005,0.05
MIDCAP,False,0.1,liquidity_survivability,0.1,1.0
SMALLCAP,False,0.1,liquidity_survivability,0.5,10.0
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
RELIANCE,True,0.85,,0.005,0.05
TEST,True,0.85,,0.01,0.1
ILLQ,False,0.1,liquidity_survivability,4.0,80.0
