path,phase_hint,lines,functions,classes,imports,risks,parse_ok
db_utils.py,Unclassified,54,0,0,,,True
export_helpers.py,Unclassified,19,0,0,,,True
bootstrap.py,Unclassified,172,0,0,,,True
backup.py,Unclassified,43,0,0,,,True
env_config.py,Phase 0,93,0,0,,,True
apply_refactor.py,Unclassified,104,0,0,,,True
conftest.py,Unclassified,20,0,0,,,True
env_validator.py,Unclassified,42,0,0,,,True
killtri.py,Unclassified,28,0,0,,,True
main.py,Unclassified,27,0,0,,,True
Live_market.py,Unclassified,36,0,0,,,True
quick_run.py,Unclassified,15,0,0,,,True
main_orchestrator.py,Unclassified,26,0,0,,,True
project_super_status.py,Unclassified,368,0,0,,"infinite_loop,background_task,scheduler,reconnect_loop",True
Live_market_New.py,Unclassified,124,0,0,,,True
quick_smoke.py,Unclassified,10,0,0,,,True
repo_snapshot.py,Unclassified,94,0,0,,,True
project_audit.py,Unclassified,141,0,0,,,True
run_phase_screening.py,Unclassified,39,0,0,,,True
Live_market - Copy.py,Unclassified,27,0,0,,infinite_loop,True
run_algo.py,Unclassified,143,0,0,,infinite_loop,True
status_report.py,Unclassified,454,0,0,,,True
run_dispatcher_example.py,Unclassified,31,0,0,,,True
run_full_test.py,Unclassified,36,0,0,,,True
scheduler.py,Unclassified,184,0,0,,,True
TEST9.5.PY,Unclassified,14,0,0,,,True
TEST9.6.PY,Unclassified,14,0,0,,,True
TEST9.4.PY,Unclassified,15,0,0,,,True
streamlit_export_helpers.py,Unclassified,24,0,0,,,True
TESTPURPOS.PY,Unclassified,7,0,0,,,True
__init__.py,Unclassified,35,0,0,,,True
ws_test_async.py,Unclassified,35,0,0,,,True
write_pyproject.py,Unclassified,30,0,0,,,True
ws_try_queryparam.py,Unclassified,19,0,0,,,True
analytics\allocator.py,Unclassified,45,0,0,,,True
watchlist_advanced.py,Unclassified,279,0,0,,,True
ws_try_header_variants.py,Unclassified,29,0,0,,,True
ws_try_subprotocol.py,Unclassified,23,0,0,,,True
analytics\canary_daily_summary.py,Unclassified,69,0,0,,,True
